variety_id,variety_slug,category,calories,protein_g,fat_g,carbohydrates_g,fiber_g,sugar_g,vitamin_a_mcg_rae,vitamin_c_mg,vitamin_e_mg,vitamin_k_mcg,vitamin_b6_mg,folate_mcg,calcium_mg,iron_mg,magnesium_mg,phosphorus_mg,potassium_mg,zinc_mg,selenium_mcg,notable_compounds,fdc_id,data_source
1,cherokee-purple,tomato,27,0.83,0.63,5.51,2.1,,,27.2,0.98,4.2,0.06,10,11,0.33,11.9,28,260,0.2,,,321360,USDA FoodData Central
2,better-boy,tomato,27,0.83,0.63,5.51,2.1,,,27.2,0.98,4.2,0.06,10,11,0.33,11.9,28,260,0.2,,,321360,USDA FoodData Central
3,san-marzano,tomato,27,0.83,0.63,5.51,2.1,,,27.2,0.98,4.2,0.06,10,11,0.33,11.9,28,260,0.2,,,321360,USDA FoodData Central
4,celebrity,tomato,27,0.83,0.63,5.51,2.1,,,27.2,0.98,4.2,0.06,10,11,0.33,11.9,28,260,0.2,,,321360,USDA FoodData Central
5,brandywine,tomato,27,0.83,0.63,5.51,2.1,,,27.2,0.98,4.2,0.06,10,11,0.33,11.9,28,260,0.2,,,321360,USDA FoodData Central
8,roma,tomato,27,0.83,0.63,5.51,2.1,,,27.2,0.98,4.2,0.06,10,11,0.33,11.9,28,260,0.2,,,321360,USDA FoodData Central
9,cherry-belle,tomato,63,1.06,0.2,16,2.1,12.8,3,7,0.07,2.1,0.049,4,13,0.36,11,21,222,0.07,0,,171719,USDA FoodData Central
11,early-girl,tomato,27,0.83,0.63,5.51,2.1,,,27.2,0.98,4.2,0.06,10,11,0.33,11.9,28,260,0.2,,,321360,USDA FoodData Central
12,big-beef,tomato,27,0.83,0.63,5.51,2.1,,,27.2,0.98,4.2,0.06,10,11,0.33,11.9,28,260,0.2,,,321360,USDA FoodData Central
15,green-zebra,tomato,27,0.83,0.63,5.51,2.1,,,27.2,0.98,4.2,0.06,10,11,0.33,11.9,28,260,0.2,,,321360,USDA FoodData Central
16,beefsteak,tomato,27,0.83,0.63,5.51,2.1,,,27.2,0.98,4.2,0.06,10,11,0.33,11.9,28,260,0.2,,,321360,USDA FoodData Central
17,mortgage-lifter,tomato,27,0.83,0.63,5.51,2.1,,,27.2,0.98,4.2,0.06,10,11,0.33,11.9,28,260,0.2,,,321360,USDA FoodData Central
18,stupice,tomato,27,0.83,0.63,5.51,2.1,,,27.2,0.98,4.2,0.06,10,11,0.33,11.9,28,260,0.2,,,321360,USDA FoodData Central
19,black-krim,tomato,27,0.83,0.63,5.51,2.1,,,27.2,0.98,4.2,0.06,10,11,0.33,11.9,28,260,0.2,,,321360,USDA FoodData Central
20,yellow-pear,tomato,57,0.36,0.14,15.2,3.1,9.75,1,4.3,0.12,4.4,0.029,7,9,0.18,7,12,116,0.1,0.1,,169118,USDA FoodData Central
21,rutgers,tomato,27,0.83,0.63,5.51,2.1,,,27.2,0.98,4.2,0.06,10,11,0.33,11.9,28,260,0.2,,,321360,USDA FoodData Central
22,patio-princess,tomato,27,0.83,0.63,5.51,2.1,,,27.2,0.98,4.2,0.06,10,11,0.33,11.9,28,260,0.2,,,321360,USDA FoodData Central
23,amish-paste,tomato,27,0.83,0.63,5.51,2.1,,,27.2,0.98,4.2,0.06,10,11,0.33,11.9,28,260,0.2,,,321360,USDA FoodData Central
24,mountain-fresh-plus,tomato,27,0.83,0.63,5.51,2.1,,,27.2,0.98,4.2,0.06,10,11,0.33,11.9,28,260,0.2,,,321360,USDA FoodData Central
25,surefire-red,tomato,27,0.83,0.63,5.51,2.1,,,27.2,0.98,4.2,0.06,10,11,0.33,11.9,28,260,0.2,,,321360,USDA FoodData Central
26,bell-pepper-california-wonder,pepper,,0.715,0.106,4.78,0.942,,,99.5,,,0.247,22.2,7.5,0.186,9,16.8,163,0.126,0,,2258588,USDA FoodData Central
27,jalape-o-early-jalape-o,pepper,29,0.91,0.37,6.5,2.8,4.12,54,119,3.58,18.5,0.419,27,12,0.25,15,26,248,0.14,0.4,,168576,USDA FoodData Central
28,habanero-orange-habanero,pepper,27,1.66,0.45,5.35,3.4,1.95,17,82.7,0.69,9.5,0.357,29,14,0.46,17,32,256,0.25,0.3,,169394,USDA FoodData Central
29,banana-pepper-sweet-banana,pepper,27,1.66,0.45,5.35,3.4,1.95,17,82.7,0.69,9.5,0.357,29,14,0.46,17,32,256,0.25,0.3,,169394,USDA FoodData Central
30,cayenne-long-red-cayenne,pepper,318,12,17.3,56.6,27.2,10.3,2080,76.4,29.8,80.3,2.45,106,148,7.8,152,293,2010,2.48,8.8,,170932,USDA FoodData Central
