variety_id,variety_slug,category,label,url,type
1,cherokee-purple,tomato,Johnny's Selected Seeds,https://www.johnnyseeds.com/vegetables/tomatoes/heirloom-tomatoes/cherokee-purple-organic-tomato-seed-753G.html,breeder
1,cherokee-purple,tomato,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/321360/nutrients,usda
2,better-boy,tomato,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/321360/nutrients,usda
3,san-marzano,tomato,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/321360/nutrients,usda
4,celebrity,tomato,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/321360/nutrients,usda
5,brandywine,tomato,Johnny's Selected Seeds,https://www.johnnyseeds.com/vegetables/tomatoes/heirloom-tomatoes/brandywine-organic-tomato-seed-2845.html,breeder
5,brandywine,tomato,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/321360/nutrients,usda
8,roma,tomato,NC State Extension,https://plants.ces.ncsu.edu/plants/chamaemelum-nobile/,extension
8,roma,tomato,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/321360/nutrients,usda
9,cherry-belle,tomato,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/171719/nutrients,usda
11,early-girl,tomato,Johnny's Selected Seeds,https://www.johnnyseeds.com/vegetables/tomatoes/slicing-tomatoes/early-girl-f1-tomato-seed-3995.html,breeder
11,early-girl,tomato,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/321360/nutrients,usda
12,big-beef,tomato,Johnny's Selected Seeds,https://www.johnnyseeds.com/vegetables/tomatoes/beefsteak-tomatoes/big-beef-f1-tomato-seed-2063.html,breeder
12,big-beef,tomato,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/321360/nutrients,usda
15,green-zebra,tomato,Johnny's Selected Seeds,https://www.johnnyseeds.com/vegetables/tomatoes/heirloom-tomatoes/green-zebra-organic-tomato-seed-2276.html,breeder
15,green-zebra,tomato,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/321360/nutrients,usda
16,beefsteak,tomato,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/321360/nutrients,usda
17,mortgage-lifter,tomato,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/321360/nutrients,usda
18,stupice,tomato,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/321360/nutrients,usda
19,black-krim,tomato,Johnny's Selected Seeds,https://www.johnnyseeds.com/vegetables/tomatoes/heirloom-tomatoes/black-krim-organic-tomato-seed-3814G.html,breeder
19,black-krim,tomato,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/321360/nutrients,usda
20,yellow-pear,tomato,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/169118/nutrients,usda
21,rutgers,tomato,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/321360/nutrients,usda
22,patio-princess,tomato,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/321360/nutrients,usda
23,amish-paste,tomato,Johnny's Selected Seeds,https://www.johnnyseeds.com/vegetables/tomatoes/paste-tomatoes/amish-paste-organic-tomato-seed-3817G.html,breeder
23,amish-paste,tomato,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/321360/nutrients,usda
24,mountain-fresh-plus,tomato,Johnny's Selected Seeds,https://www.johnnyseeds.com/vegetables/tomatoes/beefsteak-tomatoes/mountain-fresh-plus-f1-tomato-seed-3808.html,breeder
